product-id,product-title,origin_country,origin_region,origin_farm,origin_altitude_m,origin_process,roast_level,roast_roasted_on,roast_roaster,flavor_notes,tags,tasting_score_acidity,tasting_score_body,tasting_score_sweetness,tasting_score_aroma,tasting_score_bitterness,in_stock,description,variant_size,variant_grind,variant_price_eur,variant_stock,variant-id,variant_index
BEAN-0001,"Edison Espresso!",Ethiopia,Sidamo,"Finca Pure Functional Farm",1612,honey,medium-light,2026-03-15,"The Recursion Roastery",,open-source,7,1,1,2,4,1,"Best paired with a 200 OK...",250g,aeropress,16.2,139,BEAN-0001-250g-AER,0
BEAN-0001,"Edison Espresso!",Ethiopia,Sidamo,"Finca Pure Functional Farm",1612,honey,medium-light,2026-03-15,"The Recursion Roastery",,open-source,7,1,1,2,4,1,"Best paired with a 200 OK...",1kg,espresso,46.59,71,BEAN-0001-1kg-ESP,1
BEAN-0001,"Edison Espresso!",Ethiopia,Sidamo,"Finca Pure Functional Farm",1612,honey,medium-light,2026-03-15,"The Recursion Roastery",,open-source,7,1,1,2,4,1,"Best paired with a 200 OK...",100g,turkish,10.45,178,BEAN-0001-100g-TUR,2
BEAN-0002,"Hyperdrive House Blend",Ethiopia,Sidamo,"Finca Heap Hill",1647,washed,medium,2026-02-12,"Roast & Roll","milk chocolate,regret","production-ready,blend,rainforest-alliance,single-origin",9,5,10,6,10,1,250g,turkish,13.32,20,BEAN-0002-250g-TUR,0
BEAN-0003,"Tachyon Trip",Jamaica,"Blue Mountain","Finca Null Acres",1727,natural,medium,2026-02-10,"Loops & Beans","the smell of merged PRs,tail-call sweetness",battle-tested,3,9,4,3,8,1,"Tastes of certainty, with a hint of doubt.",250g,aeropress,13.59,196,BEAN-0003-250g-AER,0
BEAN-0003,"Tachyon Trip",Jamaica,"Blue Mountain","Finca Null Acres",1727,natural,medium,2026-02-10,"Loops & Beans","the smell of merged PRs,tail-call sweetness",battle-tested,3,9,4,3,8,1,"Tastes of certainty, with a hint of doubt.",100g,espresso,10.57,80,BEAN-0003-100g-ESP,1
BEAN-0003,"Tachyon Trip",Jamaica,"Blue Mountain","Finca Null Acres",1727,natural,medium,2026-02-10,"Loops & Beans","the smell of merged PRs,tail-call sweetness",battle-tested,3,9,4,3,8,1,"Tastes of certainty, with a hint of doubt.",1kg,filter,43.53,145,BEAN-0003-1kg-FIL,2
BEAN-0003,"Tachyon Trip",Jamaica,"Blue Mountain","Finca Null Acres",1727,natural,medium,2026-02-10,"Loops & Beans","the smell of merged PRs,tail-call sweetness",battle-tested,3,9,4,3,8,1,"Tastes of certainty, with a hint of doubt.",500g,espresso,27.24,101,BEAN-0003-500g-ESP,3
BEAN-0004,"Goroutine Gold","Mount Olympus",Pelion,"Finca The Repo",2987,honey,french,2025-12-13,"SIGTERM Single Origin","cardamom,lavender,berry,peanut butter","single-origin,fair-trade,blend,decaf",3,7,10,2,7,1,500g,moka,28.89,2,BEAN-0004-500g-MOK,0
BEAN-0004,"Goroutine Gold","Mount Olympus",Pelion,"Finca The Repo",2987,honey,french,2025-12-13,"SIGTERM Single Origin","cardamom,lavender,berry,peanut butter","single-origin,fair-trade,blend,decaf",3,7,10,2,7,1,100g,aeropress,11.08,192,BEAN-0004-100g-AER,1
